TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,ALIGNMENT,ROADWAY_SURFACE_COND,POSTED_SPEED_LIMIT,TRAFFICWAY_TYPE,CRASH_TYPE,DAMAGE,MOST_SEVERE_INJURY,INJURIES_TOTAL,narratives
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level one-way road under the clear skies of a beautiful day. With no traffic control devices in sight, it was a casual drive with the dry road surface offering good traction. The daylight made everything crystal clear, allowing me to enjoy the scenery around me. The posted speed limit of 30 kept me in check as I made my way through the smooth alignment of the road. Everything seemed calm and steady as I followed the traffic flow, taking in the sights and sounds of the city around me."
TRAFFIC SIGNAL,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level divided road with a median, where the traffic signals were guiding the flow of vehicles. The weather was a bit gloomy with rain pouring down, making the road surface wet. Despite the daylight, the rain was making visibility a bit challenging. The posted speed limit was 30 mph, and I made sure to keep within the limit. The road was lined with trees, and the greenery was soothing to look at while cruising along the highway. The traffic seemed moderate, with vehicles moving in an orderly fashion. It felt like a typical day on the road, with the sounds of tires swooshing through the wet surface. The surroundings were peaceful, and I enjoyed the drive, taking in the scenery around me."
TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD","CURVE, LEVEL",WET,30,ONE-WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a one-way street, with a traffic signal ahead. The fog was thick, making visibility quite challenging, but the road was well lit, which helped a bit. The curve in the alignment caught me off guard as I continued at the posted speed limit of 30 mph. The roadway was wet, adding an extra layer of complexity to my drive. Despite the darkness and the haze, I pressed on, trying to stay alert and focused on the road ahead."
TRAFFIC SIGNAL,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",STRAIGHT ON GRADE,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"I was driving down a straight road on a slight incline, approaching a four-way intersection where a traffic signal was governing the flow. The darkness of the night was illuminated by the streetlights, cutting through the thick fog that obscured my vision. The road was slick with rain, making it challenging to maintain my speed within the 30 mph limit. Despite the haziness and wet conditions, I proceeded cautiously, keeping an eye out for any sudden movements from other vehicles at the intersection, anticipating the changing traffic lights ahead."
NO CONTROLS,RAIN,DARKNESS,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I was cruising along the straight and level road, I noticed there were no traffic controls in sight. The rain was coming down pretty hard, making the visibility quite poor in the darkness of the night. The wet roadway surface was glistening under the faint glow of my headlights as I stuck to the 30 mph speed limit. The road was not divided, so I had to stay alert for any oncoming traffic. The conditions were a bit challenging, but I kept my focus on the road ahead, ensuring I stayed within my lane."
NO CONTROLS,FOG/SMOKE/HAZE,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN BARRIER,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with a median barrier separating the lanes. There were no traffic control devices in sight as I navigated through the darkness, relying on the streetlights illuminating the wet road. The fog enveloped the surroundings, creating a hazy atmosphere that made visibility challenging. Despite the posted speed limit of 30 mph, I was cautious, knowing that the roadway surface conditions could pose a risk. The divided highway felt ominous yet strangely peaceful in the quiet of the night."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving along a straight and level road with no traffic control devices in sight. The rain was coming down pretty hard, making everything glisten in the darkness. Thankfully, the road was well-lit, so I could see ahead clearly. The wet roadway surface added an extra challenge to the drive, forcing me to stay alert. The posted speed limit of 30 miles per hour felt appropriate given the conditions. Since the trafficway was not divided, I had to be cautious of oncoming vehicles."
TRAFFIC SIGNAL,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"As I made my way down the straight and level road, I noticed the traffic signal up ahead was showing red. The rain was coming down steadily, making the roadway glisten with puddles. Despite the wet surface, visibility was good as it was still daylight. The posted speed limit of 30 kept me in check as I approached the four-way intersection. There were other vehicles at the stop signs on the cross streets, waiting for their turn to go. My hands gripped the steering wheel a tad tighter, cautious of the slippery conditions. I could see pedestrians huddled under umbrellas on the sidewalk, waiting to cross. The familiar hum of engines echoed in the background, creating a sense of bustling activity around me. I inched closer to the intersection, glancing at the traffic signal, anticipating my turn to proceed. The atmosphere was filled with a mix of the rain's patter and the hum of engines, painted with the occasional splash as cars drove through the puddles."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,ONE-WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the one-way street, no stop signs or traffic lights to slow me down. The rain was coming down hard, making it tough to see in the darkness, but luckily the road was well-lit. The alignment was straight as an arrow, and the surface was wet, causing my tires to slip slightly. I made sure to keep it steady though, not wanting to exceed the 30 mph speed limit. Despite the challenging conditions, I felt confident in my driving skills as I continued on my way."
NO CONTROLS,RAIN,DARKNESS,STRAIGHT AND LEVEL,WET,15,DRIVEWAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level driveway with no traffic control devices in sight. The rain was coming down pretty steadily, making the road surface wet and slippery. It was dark outside, and I could barely see anything beyond my headlights. The posted speed limit was just 15 mph, so I was taking it slow and steady. Despite the challenging weather conditions, I was trying to stay focused and alert, knowing that visibility was limited. The alignment of the road was straight, and I could feel the tires gripping the wet pavement as I navigated the driveway. The combination of rain, darkness, and low speed limit made for a tense driving experience, but I kept my hands on the wheel and remained cautious."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN BARRIER,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"As I was driving down the road with no traffic controls in place, I couldn't help but notice the rain falling steadily from the dark night sky. Although the road was well-lit, the wet surface glistened under the street lights, making me extra cautious. The straight and level alignment of the divided highway, with a median barrier separating the lanes, guided me along my way. Even though the posted speed limit was only 30 miles per hour, I made sure to maintain a safe speed given the slippery conditions. Despite the challenging weather and road surface conditions, I felt confident in my ability to navigate the divided roadway."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic controls in sight. The weather was clear, the sun shining brightly in the daylight. The road surface, however, was slick and wet from the rain earlier. Despite the conditions, I was maintaining a speed within the posted limit of 30 mph. The trafficway was not divided, with cars traveling in both directions. As I continued on my way, the surroundings seemed peaceful and serene, with no signs of trouble ahead."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a clear day, the sun shining brightly overhead as I approached the four-way intersection. The traffic signal ahead turned green, prompting me to proceed through the straight and level roadway. The dry surface offered good traction as my speedometer hovered at the posted limit of 30 miles per hour. With daylight providing excellent visibility, I felt confident navigating the intersection with caution. The traffic flow was steady but manageable, with vehicles approaching from all directions. I kept a sharp eye out for any potential hazards, ready to react swiftly if needed. Overall, the conditions were favorable for a smooth and uneventful drive through the busy intersection."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, with no traffic lights or stop signs to worry about. The weather was clear, and the daylight made everything easy to see. The roadway was dry, giving me good traction as I drove along the divided highway with a median in the middle. The posted speed limit was 30, so I was taking it easy and enjoying the drive. The lack of traffic controls made the journey smooth, and I felt at ease with the surroundings. The combination of these conditions made for a pleasant and stress-free driving experience."
TRAFFIC SIGNAL,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN BARRIER,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"I was cruising down the road, and the traffic signal ahead turned red, so I eased off the gas to make a stop. The rain was coming down steadily, making the asphalt glisten under the daylight. The street was straight and level, with a divided roadway featuring a sturdy median barrier. Despite the wet surface, I was cautious, keeping within the 30 mph speed limit. It felt like a typical drive on a rainy day, but little did I know what was about to unfold ahead."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,T-INTERSECTION,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road on a rainy day. The lack of traffic controls meant I had to be extra cautious at the T-intersection ahead. Even though it was daylight, the wet roadway surface made me grip the steering wheel tightly. The posted speed limit of 30 felt appropriate given the conditions. I could see the intersection coming up, and I made sure to slow down gradually. Despite the rain, visibility was decent, and I could spot any approaching vehicles. My eyes flicked to the rearview mirror, checking for any cars behind me. As I approached the T-intersection, I mentally prepared to make a safe turn."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,FOUR WAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was cruising along on a fine day, everything looking pretty clear and sunny. The road was straight as an arrow, and I could see everything ahead of me crystal clear. The traffic signal up ahead was there, doing its usual thing, regulating the flow of cars at the four-way stop. The speed limit was 30, so I was just taking it easy, not in a rush. Even though the road was a bit wet, it didn't bother me much. The daylight was on my side, making everything easy to see. Just had to keep an eye out for other drivers, but with this kind of weather and lighting, it was smooth sailing."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,OTHER,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"As I made my way down the straight and level road at around 10 PM, I approached a four-way intersection controlled by a traffic signal. The weather was clear, and even though it was nighttime, the road was well-lit. Despite the visibility, I noticed an unusual other type of surface condition on the road. The posted speed limit of 30 mph kept me cautious as I navigated through the intersection. The intersection buzzed with activity as vehicles from all directions moved through the four-way stop."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,25,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with no traffic controls in sight. It was nighttime, but thankfully the road was well-lit, making it easier to see ahead. The weather was clear, but the pavement was wet from earlier rain, adding a bit of tension to the drive. The posted speed limit of 25 mph kept me cautious as I navigated the not divided roadway. Despite the darkness, the road's lighting helped illuminate my path, allowing me to stay alert and focused on the journey ahead."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"I was cruising down the road without any traffic lights to slow me down, just taking in the clear sky and bright daylight. The path ahead was straight and level, making it an easy drive. I didn't know much about the road surface condition, but it seemed normal. The speed limit was a relaxed 30 miles per hour, and the trafficway wasn't divided, so I just stayed in my lane and enjoyed the journey."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,ONE-WAY,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was cruising down the one-way street, the traffic signal up ahead showing red. The weather was clear, but darkness had fallen thanks to the lighted road. The road was straight and flat, easy driving under the dry surface conditions. With a posted speed limit of 30, I wasn't in a rush. The surroundings were eerily quiet, with only a few cars parked along the curb. The road stretched out before me, seemingly endless in the nighttime solitude. Everything felt calm and peaceful as I continued on my way, the traffic signal looming larger in my windshield."
NO CONTROLS,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,40,ONE-WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",INCAPACITATING INJURY,1,"I was cruising down the one-way street, no traffic controls in sight. It was a rainy day, but at least it was still daylight. The road was straight and level, making for a smooth drive despite the wet surface condition. The posted speed limit was 40, so I made sure to keep it steady. The trafficway was clear in both directions, so I felt pretty relaxed behind the wheel."
NO CONTROLS,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,40,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"It was pouring rain that night as I drove down the straight and level divided road with a median. There were no traffic control devices to slow me down, just the sound of the rain hitting the wet surface of the road. Even though it was dark, the road was well-lit, so I could see clearly ahead. The posted speed limit was 40, but I was taking it easy, knowing how slippery the road could be in these conditions. I made sure to stay in my lane as I navigated through the divided highway. It felt eerie driving in the darkness with only the glow of the streetlights guiding my way."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"I was cruising down a straight and level road with no traffic controls in sight, it was a clear day with the sun shining brightly in the sky. The roadway was dry and the visibility was perfect as it was still daylight. The posted speed limit was 30 miles per hour, so I was taking it easy, enjoying the drive. It was a typical four-way intersection, with other cars moving smoothly in various directions. The surroundings were peaceful and the atmosphere was calm. The road surface felt smooth under my tires, and I could see the green leaves swaying gently in the breeze. It seemed like just another ordinary day on the road, with everything in place and no signs of trouble ahead."
NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic lights or signs to dictate my speed. The weather was a mystery, and the lighting conditions were just as obscure. The road surface felt normal under my tires, but I couldn't quite pinpoint the exact condition. The posted speed limit was 30, so I made sure to keep an eye on my speedometer. The trafficway was not divided, meaning I had to stay alert for oncoming vehicles veering into my lane. The lack of controls made me rely solely on my instincts and driving skills to navigate the road ahead."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,25,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"Alright, so there I was driving down the road on a straight and level path. The traffic signal ahead was showing green, the weather was clear, and the daylight made everything visible. The dry road surface ensured good traction under my tires as I cruised along at the posted speed limit of 25 miles per hour. The trafficway was not divided, with vehicles moving in both directions. The surroundings were peaceful, with no distractions in sight as I stayed focused on the road ahead. The conditions were optimal for a smooth and uneventful drive."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,FOUR WAY,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"As I approached the intersection, I noticed the traffic signal ahead showing a bright red light. The weather was clear, with the darkness of night enveloping the surroundings, but thankfully the road was well lit. The road stretched out straight and level before me, with dry pavement offering good traction under my tires. I heeded the posted speed limit of 30 mph, keeping a watchful eye on the four-way intersection ahead. The quiet night seemed peaceful as I navigated the familiar route, anticipating a smooth journey ahead."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,INCAPACITATING INJURY,1,"I was driving down a straight and level road with a posted speed limit of 30 mph. The traffic signal ahead was red, so I slowed down to a stop. It was a clear night, and even though it was dark, the road was well lit. The roadway surface was dry, and there were no other vehicles around. The road was not divided, so I stayed in my lane, waiting for the light to turn green."
TRAFFIC SIGNAL,FREEZING RAIN/DRIZZLE,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"So, there I was cruising down the divided road with a median, it was early in the morning and the daylight was strong. The traffic signal was ahead at the next intersection, reminding me to slow down to the 30 mph speed limit. The freezing rain and drizzle had made the road surface wet, and I could feel the tires slipping a bit as I drove. The straight and level alignment of the roadway made it easy to see far ahead. I kept my focus on the road, ensuring a safe drive despite the slippery conditions."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,OTHER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road with no traffic lights or stop signs in sight, just free to keep on moving. The weather was clear, the sun shining brightly overhead, making everything crystal clear. It was a typical daylight drive, with the road stretching straight and level ahead of me. The pavement was dry and smooth under my wheels, no obstacles in my way. The posted speed limit was 30, so I was taking it easy and enjoying the ride. The trafficway was like any other, nothing out of the ordinary, just me and the open road."
TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,DRY,20,OTHER,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, the traffic signal ahead flashing red and yellow under the cloudy sky. It was daylight, so visibility was clear, and the dry road made for smooth driving. The posted speed limit of 20 kept me in check, but there weren't many cars on this particular stretch of road. The trafficway type was listed as ""other,"" but it seemed pretty standard to me. I could see buildings lining the road, with pedestrians milling about on the sidewalk. The scenery was nothing out of the ordinary, just another day on the road."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,DIVIDED - W/MEDIAN (NOT RAISED),NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"Alright, so there I was cruising down the road, the sun shining bright overhead, and not a cloud in sight. The traffic signal up ahead turned green, so I kept my foot on the gas, enjoying the clear daylight as I drove. The road was straight and flat, making for an easy ride, and the dry surface offered good grip for my tires. The posted speed limit of 30 kept me in check as I navigated the divided highway with a median in the middle. Everything seemed calm and peaceful as I made my way along the familiar route, taking in the sights and sounds of the bustling city around me."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road, no traffic lights or stop signs in sight. The weather was clear, and the sun was shining bright, making everything crystal clear. It was daylight, so visibility was great, and the road ahead was straight as an arrow, not a curve in sight. The pavement was dry and smooth, which made for a pleasant drive. The speed limit was 30, so I was taking it easy, enjoying the ride. The road wasn't divided, just a simple two-lane street with cars parked along the side. It felt like a safe and straightforward journey ahead, with no obstacles in my path."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,CENTER TURN LANE,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was driving down a straight and level road with a center turn lane, following the 30 mph speed limit under a clear sky on a bright daylight. The traffic signal ahead blinked at me, prompting me to slow down as the road surface was wet from previous rain. Despite the road condition, the visibility was good due to the ample daylight. The traffic was moving smoothly, with vehicles using the center turn lane for easy maneuvering. The weather was pleasant, setting a relaxed mood for the drive as I maintained a cautious pace in anticipation of any unexpected obstacles ahead."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down a straight and level road with no traffic controls in sight. The weather was clear, the daylight shining brightly as I made my way on the dry pavement. The posted speed limit was 30, so I was taking it easy and keeping an eye out for any surprises. The road wasn't divided, so I was cautious of oncoming traffic. The conditions were perfect for a smooth ride, and I had my music playing as I enjoyed the scenery passing by. The lack of distractions made me feel at ease as I continued on my way."
NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,STRAIGHT AND LEVEL,WET,15,ALLEY,NO INJURY / DRIVE AWAY,$500 OR LESS,NO INDICATION OF INJURY,0,"I was cruising down the alley, minding my own business when I noticed that there were no traffic controls in sight. The weather was a bit dreary, with cloudy skies casting a shadow on the road, but at least it was still daylight so visibility was decent. The alley itself was straight and flat, making it easy to navigate. However, the wet surface due to recent rain made me a bit cautious. I reminded myself that the speed limit was just 15 miles per hour, so I made sure to keep my speed in check. Overall, it seemed like a typical day for a drive through the neighborhood."
TRAFFIC SIGNAL,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,FOUR WAY,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"As I made my way down the straight and level road, I noticed that the traffic signal ahead was showing red. It had been raining, leaving the road surface wet and a bit slippery under my tires. Despite the darkness of the night, the road was adequately lit, providing me with decent visibility. The posted speed limit of 30 was easy enough to follow in these conditions. Approaching the four-way intersection, I saw other vehicles waiting at the stop signs on the cross streets. The atmosphere was tense, but everyone seemed to be following the rules and taking it slow. The combination of the rain and darkness added a bit of extra challenge to my usual evening commute. But I maintained focus, knowing that safety on the roads is paramount."
NO CONTROLS,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,25,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"As I cruised down the smooth, level road with no traffic lights or signs in sight, the weather and lighting conditions were a mystery to me. I was driving at a leisurely pace, sticking to the 25 mph speed limit on the undivided road. The straight alignment made it easy to focus on the path ahead, with no curves or obstacles in my way. The surface condition of the roadway was uncertain, but it felt stable beneath my tires. The absence of any traffic control device gave me a sense of freedom, but also a hint of caution as I remained vigilant for any potential hazards."
STOP SIGN/FLASHER,UNKNOWN,UNKNOWN,STRAIGHT AND LEVEL,UNKNOWN,25,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving down the road, cruising along a straight and level stretch with no divider in sight. The only traffic control device around was a stop sign with some flashing lights attached. The weather was neither here nor there, couldn't quite make out the conditions. Same goes for the lighting, it was all a mystery to me. The road surface felt normal, can't say I noticed anything out of the ordinary. The speed limit was set at 25, so I was taking it easy. Just another day on the road, with nothing but open space ahead of me."
TRAFFIC SIGNAL,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, the traffic signal ahead switched to green just in time as I approached it. The rain had been pouring down relentlessly, making the daylight seem somewhat dimmer than usual. The wet road glistened under the overcast sky, creating a somewhat slippery surface to navigate. Even though the posted speed limit was 30, I decided to take it slow and steady to ensure my safety. The road ahead was not divided, with vehicles traveling in both directions sharing the same space. Keeping a vigilant eye on the road conditions, I adjusted my driving accordingly to prevent any unwanted surprises."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,30,DIVIDED - W/MEDIAN (NOT RAISED),INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",INCAPACITATING INJURY,1,"I was cruising down the divided highway with a median, feeling the breeze through my windows on that sunny day. The traffic signal up ahead turned red, so I eased off the gas and came to a stop. The road was straight and level, giving me a clear view of the cars around me. Despite the daylight, the surface was wet from an earlier rain, so I made sure to drive cautiously within the 30 mph speed limit. The traffic flowed smoothly, with everyone following the rules and staying in their lanes. The median provided a buffer between the opposing lanes, adding an extra layer of safety to the road. Overall, it was a peaceful drive with no apparent signs of trouble ahead."
NO CONTROLS,CLOUDY/OVERCAST,DAYLIGHT,"CURVE, LEVEL",WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the road on a cloudy day, the sky a dull grey blanket overhead. The sun was still shining through, casting a warm light on the pavement below. I noticed the road ahead curved gently to the left, the alignment making me lean into the turn. The road was level, but the surface was wet from an earlier rain, making me grip the wheel a little tighter. There were no traffic controls in sight, so I kept my speed at the posted limit of 30 miles per hour. The road wasn't divided, with cars coming from both directions. Despite the conditions, I felt confident in my driving skills and continued on my way, enjoying the peaceful drive."
NO CONTROLS,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,FOUR WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NONINCAPACITATING INJURY,1,"I was cruising down a straight and level road at a comfortable 30 miles per hour. The weather was clear, and the sun was shining brightly, illuminating the road ahead. With no traffic control devices in sight, I approached a four-way intersection, feeling at ease with the dry road surface beneath me. The daylight provided excellent visibility, allowing me to see the surroundings clearly. As I continued on my way, the lack of controls made me more vigilant, but the general atmosphere was relaxed and uneventful."
UNKNOWN,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,30,NOT DIVIDED,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",NO INDICATION OF INJURY,0,"I was driving on a straight and level road, the dark night illuminated by the glow of the streetlights above. The rain poured down, making the wet road surface glisten beneath my tires. I kept my speed in check, mindful of the posted limit of 30 miles per hour. Although there were no clear traffic control devices in sight, I focused on staying vigilant as the trafficway was undivided. The slick conditions added an element of challenge to my journey, requiring me to maintain a steady grip on the wheel. Despite the weather and visibility factors, I remained alert and cautious, navigating the road with care as I pressed onwards into the rainy night."
TRAFFIC SIGNAL,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,30,ONE-WAY,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, basking in the daylight with clear skies above. The traffic signal ahead blinked green, guiding me along the one-way street at a calm 30 mph. The dry pavement hummed softly beneath my tires as I enjoyed the smooth ride. The conditions were just perfect for an easy drive, no obstacles in sight as I navigated the well-lit surroundings."
TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,25,NOT DIVIDED,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO INDICATION OF INJURY,0,"As I cruised down the straight and level road, the traffic signal ahead indicated it was my turn to proceed. The weather was clear, and even though it was dark out, the road was well-lit, making visibility easy. The dry roadway surface under my tires provided good traction as I stuck to the posted speed limit of 25 miles per hour. The trafficway was not divided, so I made sure to stay in my lane, keeping an eye out for any potential hazards. The combination of these factors made for a smooth and uneventful drive as I continued on my journey."
NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,25,NOT DIVIDED,NO INJURY / DRIVE AWAY,"OVER $1,500",NO INDICATION OF INJURY,0,"I was cruising down the straight and level road, with no traffic control devices in sight. The weather was clear, and even though it was dark, the road was well lit. Everything seemed calm and peaceful as I drove along the dry asphalt with a speed limit of 25. The road was not divided, but I felt in control and confident behind the wheel. It was just me and the deserted road ahead, with nothing but the sound of my engine to keep me company. The conditions were ideal for a smooth and uneventful drive, and I was enjoying the tranquility of the night as I continued on my journey."
